2020-02-27 23:51:45,406 ERROR    myPIC macro not initialized correctly.
2020-02-27 23:58:08,968 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:58:08,969 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:58:08,970 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:58:09,880 ERROR    Pause button not found.
2020-02-27 23:58:12,025 INFO     New image found at: Test
2020-02-27 23:58:12,025 INFO     Template image: \$Recycle.Bin
2020-02-27 23:58:12,025 INFO     New image: Test
2020-02-27 23:58:12,025 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:58:12,025 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:58:12,025 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:58:12,025 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:58:12,025 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:58:12,955 ERROR    Pause button not found.
2020-02-27 23:58:46,327 INFO     AutoImage script initialized in False
2020-02-27 23:58:46,328 INFO     New image found at: C:\Temp
2020-02-27 23:58:46,363 INFO     Template image: C:\\$Recycle.Bin
2020-02-27 23:58:46,363 INFO     New image: C:\Temp
2020-02-27 23:58:46,368 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:58:46,370 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:58:46,370 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:58:46,371 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:58:46,372 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:58:47,304 ERROR    Pause button not found.
2020-02-27 23:59:56,048 INFO     AutoImage script initialized in False
2020-02-27 23:59:56,050 INFO     New image found at: "P:\Kai\20191206-Exp302-Sequential_bridges_tests\20191206_Ibidi2-ChB-15min-D1-1XA565.czi"
2020-02-27 23:59:56,094 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:59:56,095 DEBUG    STREAM b'sRGB' 41 1
